OPERATION 	 description 	 steps before use
OPERATION 	 description 	 a loud noise after initial operation
OPERATION 	 description 	 Control Panel
OPERATION 	 description 	 Sabbath Mode
OPERATION 	 description 	 Ice and Water Dispenser
OPERATION 	 description 	 Ice Compartment
OPERATION 	 description 	 Automatic Icemaker
OPERATION 	 description 	 Food
OPERATION 	 description 	 Butter
OPERATION 	 description 	 Margarine
OPERATION 	 description 	 Cheese
OPERATION 	 description 	 Milk
OPERATION 	 description 	 Eggs
OPERATION 	 description 	 Fruit
OPERATION 	 description 	 Leafy Vegetables
OPERATION 	 description 	 Vegetables with skins
OPERATION 	 description 	 carrots
OPERATION 	 description 	 peppers
OPERATION 	 description 	 Fish
OPERATION 	 description 	 Leftovers
OPERATION 	 description 	 Frozen Food
OPERATION 	 description 	 Humidity Controlled Crispers
OPERATION 	 description 	 Glide'N'Serve
OPERATION 	 description 	 Refrigerator Shelves
OPERATION 	 description 	 Door-in-Door
OPERATION 	 description 	 Door Bins
OPERATION 	 description 	 Durabase
steps before use 	 description 	 Clean the refrigerator
steps before use 	 description 	 Open refrigerator doors and freezer drawers to ventilate the interior
steps before use 	 description 	 Connect the power supply
steps before use 	 description 	 Turn off the icemaker
steps before use 	 description 	 Wait for the refrigerator to cool
Clean the refrigerator 	 description 	 ['Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.']
Clean the refrigerator 	 follow_precaution 	 ['Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. Remove adhesive residue by wiping it off with your thumb or dish detergent.', 'Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.']
Open refrigerator doors and freezer drawers to ventilate the interior 	 description 	 ['The inside of the refrigerator may smell like plastic at first. Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.']
Connect the power supply 	 description 	 ['Check if the power supply is connected before use.']
Turn off the icemaker 	 description 	 ['Turn off the icemaker if the refrigerator is not yet connected to the water supply.']
Turn off the icemaker 	 Note 	 ['The icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply.']
Wait for the refrigerator to cool 	 description 	 ['Allow the refrigerator to run for at least two to three hours before putting food in it. Check the flow of cold air in the freezer compartment to ensure proper cooling.']
Wait for the refrigerator to cool 	 follow_precaution 	 ['Putting food in the refrigerator before it has cooled could cause the food to spoil, or a bad odor to remain inside the refrigerator.']
a loud noise after initial operation 	 description 	 ['This is normal. The volume will decrease as the temperature decreases.']
Control Panel 	 have 	 Ice Plus
Control Panel 	 have 	 Smart Grid
Control Panel 	 have 	 Freezer
Control Panel 	 have 	 Refrigerator
Control Panel 	 have 	 Fresh Air Filter
Control Panel 	 have 	 Lock
Control Panel 	 have 	 Water Filter
Control Panel 	 have 	 Wi-Fi
Control Panel 	 have 	 Water and Ice Type
Control Panel 	 have 	 Craft Ice Mode
Control Panel 	 have 	 Display Mode
Ice Plus 	 description 	 ['This function increases both ice making and freezing capabilities.']
