['LFXS26973', 'LFXC22526', 'LFXS28968', 'LMXS28626', 'LMXS28636', 'LFXS26566', 'LFXS28566']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Clean the refrigerator 	 description_OPERATION_REFRIGERATOR 	 ['Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.']
Clean the refrigerator 	 caution 	 ['Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. Remove adhesive residue by wiping it off with your thumb or dish detergent.', 'Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.']
Open refrigerator doors and freezer drawers to ventilate the interior 	 description_OPERATION_REFRIGERATOR 	 ['The inside of the refrigerator may smell like plastic at first. Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.']
Connect the power supply 	 description_OPERATION_REFRIGERATOR 	 ['Check if the power supply is connected before use.']
Turn off the icemaker 	 description_OPERATION_REFRIGERATOR 	 ['Turn off the icemaker if the refrigerator is not yet connected to the water supply.', 'The icemaker water valve may buzz if the icemaker is turned on while the refrigerator is not connected to the water supply.']
Wait for the refrigerator to cool 	 description_OPERATION_REFRIGERATOR 	 ['Allow the refrigerator to run for at least two to three hours before putting food in it. Check the flow of cold air in the freezer compartment to ensure proper cooling.']
Wait for the refrigerator to cool 	 caution 	 ['Putting food in the refrigerator before it has cooled could cause the food to spoil, or a bad odor to remain inside the refrigerator.']
The refrigerator makes a loud noise after initial operation 	 description_OPERATION_REFRIGERATOR 	 ['This is normal. The volume will decrease as the temperature decreases.']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Open refrigerator doors and freezer drawers to ventilate the interior
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Connect the power supply
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Turn off the icemaker
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Wait for the refrigerator to cool
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 The refrigerator makes a loud noise after initial operation
REFRIGERATOR 	 OPERATION 	 Control Panel
Control Panel 	 summary 	 ['Depending on the model, some of the following functions may not be available.', 'The actual control panel may differ from model to model.']
Control Panel 	 have_features_OPERATION_REFRIGERATOR 	 Control Panel Features
Control Panel Features 	 description_OPERATION_REFRIGERATOR 	 ['When the refrigerator is in the Power Saving Mode, the display remains off until a door is opened or a button is pressed. Once on, the display remains on for 20 seconds.']
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Ice Plus
Ice Plus 	 description_OPERATION_REFRIGERATOR 	 ['This function increases both ice making and freezing capabilities.', 'Press the Ice Plus button to illuminate the icon and activate the function for 24 hours. The function automatically shuts off after 24 hours. Stop the function manually by pressing the button once more.']
Smart Grid 	 description_OPERATION_REFRIGERATOR 	 ['Press the Smart Grid button to turn the function On/Off. When the function is on, the icon illuminates. The function automatically turns on when the refrigerator is connected to the Wi-Fi network.', 'When the refrigerator is responding to a Demand Response (DR) message from the electric company, the Grid text illuminates.']
Freezer 	 description_OPERATION_REFRIGERATOR 	 ['Indicates the set temperature of the freezer compartment in Celsius (°C) or Fahrenheit (°F). The default freezer temperature is 0°F (-18 °C). Press the Freezer button repeatedly to select a new set temperature from-6 °F to 8 °F (-21 °C to-13 °C).']
Refrigerator 	 description_OPERATION_REFRIGERATOR 	 ['Indicates the set temperature of the refrigerator compartment in Celsius (°C) or Fahrenheit (°F). The default refrigerator temperature is 37 °F (3 °C). Press the Refrigerator button repeatedly to select a new set temperature from 33 °F to 46 °F (1 °C to 8 °C).', 'To change the temperature mode from °F to °C (or vice versa) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. The temperature indicator on the display window switches between Celsius and Fahrenheit.', 'The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. The actual refrigerator temperature depends on the food inside the refrigerator.']
Fresh Air Filter 	 description_OPERATION_REFRIGERATOR 	 ['Replace the air filter when the g icon turns on. After replacing the air filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. Replace the air filter approximately every six months.', 'Refer to the Replacing the Fresh Air Filter section for details.', 'The Fresh Air Filter helps remove odors from the refrigerator. The Fresh Air Filter has two settings, Auto and Power. In Auto mode, the Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off. If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off. After four hours, the Fresh Air Filter switches back to Auto mode.', 'Press the Fresh Air Filter button repeatedly to toggle between Power mode and Auto mode.']
Lock 	 have_features_OPERATION_REFRIGERATOR 	 The lock function disables every other button on the display
The lock function disables every other button on the display 	 description_OPERATION_REFRIGERATOR 	 ['When power is initially connected to the refrigerator, the lock function is off.', 'To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and the function is activated.', 'To disable the function, press and hold the Lock button for approximately three seconds.']
Water Filter 	 description_OPERATION_REFRIGERATOR 	 ['Replace the water filter when the h icon turns on. After replacing the water filter, press and hold the Water Filter button for three seconds to turn the icon light off. Replace the water filter approximately every six months.']
Wi-Fi 	 description_OPERATION_REFRIGERATOR 	 ['The Wi-Fi button, when used with the LG ThinQ app, allows the refrigerator to connect to a home Wi-Fi network. Refer to Smart Functions for information on the initial setup of the application.', "The f icon shows the status of the refrigerator's network connection. The icon illuminates when the refrigerator is connected to the Wi-Fi network.", 'Press and hold the Wi-Fi button for 3 seconds to connect to the network. The icon blinks while the connection is being made, then turns on once the connection is successfully made.']
Water & Ice Type 	 description_OPERATION_REFRIGERATOR 	 ['Select the desired dispenser mode from the buttons on the dispenser control panel. Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice.']
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Smart Grid
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Freezer
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Refrigerator
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Fresh Air Filter
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Lock
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Water Filter
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Wi-Fi
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Water & Ice Type
Control Panel Features 	 have_features_OPERATION_REFRIGERATOR 	 Display Mode (For Store Use Only)
Display Mode (For Store Use Only) 	 description_OPERATION_REFRIGERATOR 	 ['The Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.']
Display Mode (For Store Use Only) 	 deactivate 	 ['With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.']
Display Mode (For Store Use Only) 	 activate 	 ['With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.']
Sabbath Mode 	 summary 	 ['This feature is only available on some models.']
Sabbath Mode 	 using.description 	 ['Sabbath mode automatically turns off after 96 hours.', 'Once turned on, Sabbath mode is maintained even after a power outage.', 'Selecting Sabbath mode automatically turns off the alarm functions.', 'The dispenser and InstaView are disabled in Sabbath mode, on applicable models.']
Sabbath Mode 	 using 	 Sabbath mode is used on the Jewish Sabbath and holidays
Sabbath mode is used on the Jewish Sabbath and holidays 	 description_OPERATION_REFRIGERATOR 	 ['To turn Sabbath mode on, touch the display to activate it, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display.', 'To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds.']
Ice and Water Dispenser 	 Before_Using.description 	 ['The dispenser will not operate when either of the refrigerator doors is open.', 'If discolored ice is dispensed, check the water filter and water supply. If the problem continues, contact an LG Electronics Customer Information Center. Do not use the water or ice until the problem is corrected.', 'Dispense ice into a glass before filling it with water or other beverages. Splashing may occur if ice is dispensed into a glass that already contains liquid.', 'Some dripping may occur after dispensing. Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.', 'Keep containers at an appropriate distance from the dispensers. Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.']
Ice and Water Dispenser 	 Before_Using.caution 	 ['Keep children away from the dispenser. Children may play with or damage the controls.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. The first ice and water dispensed may include particles or odor from the water supply line or the water tank. This is also necessary if the refrigerator has not been used for a long time.', 'Dispense and throw away 2.5 gallons of water (flush for approximately 5 minutes) after installation. Do not dispense the entire 2.5 gallon amount continuously. Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF. This is also necessary if the refrigerator has not been used for a long time.', 'If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.', 'Never use a glass that is exceptionally narrow or deep. Ice may jam in the ice passage and refrigerator performance may be affected.', 'When dispensing ice from the dispenser, do not use a fragile container.']
Ice and Water Dispenser 	 using.procedure.steps 	 ['Press the button for the desired dispenser mode on the dispenser control panel. The LED lights up when the mode is selected.', 'Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice.']
Ice and Water Dispenser 	 locking 	 ['Press and hold the Lock button for three seconds to lock the dispenser and all the control panel functions. Follow the same instructions to unlock.']
Ice and Water Dispenser 	 have_features_OPERATION_REFRIGERATOR 	 Cleaning the Dispenser
Cleaning the Dispenser 	 have_features_OPERATION_REFRIGERATOR 	 Dispenser
Dispenser 	 cleaning 	 Cleaning the Ice and Water Outlet
Cleaning the Ice and Water Outlet 	 have_features_OPERATION_REFRIGERATOR 	 Ice and Water Outlet
Ice and Water Outlet 	 cleaning.description 	 ['Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as it may get dirty easily.', 'Lint from a cloth may adhere to the outlets.']
Cleaning the Dispenser Tray 	 have_features_OPERATION_REFRIGERATOR 	 Dispenser Tray
Dispenser Tray 	 cleaning 	 ['Wipe the entire area with a damp cloth. The dispenser tray may become wet easily due to spilled ice or water.']
Dispenser 	 cleaning 	 Cleaning the Dispenser Tray
Ice Compartment 	 summary.prerequisites.description 	 ['Keep the ice compartment door closed tightly. If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. This could also cause the icemaker to stop producing ice.']
Ice Compartment 	 summary.prerequisites.caution 	 ['Keep hands and tools out of the ice compartment door and dispenser chute. Failure to do so may result in damage or personal injury.']
Ice Compartment 	 have_features_OPERATION_REFRIGERATOR 	 In-Door Ice Bin
In-Door Ice Bin 	 description_OPERATION_REFRIGERATOR 	 ['The icemaker stops producing ice when the indoor ice bin is full. To make room for additional ice, empty the ice bin into the extra ice bin in the freezer compartment. During use, the ice may stack unevenly in the bin, causing the icemaker to misread the number of ice cubes and stop producing ice. Shaking the ice bin to level the ice within it can reduce this problem.', 'If the icemaker is turned OFF for an extended period of time, the ice compartment will gradually warm up to the temperature of the refrigerator compartment. To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty the ice bin when the icemaker is turned OFF for more than a few hours.', 'The ice passage may become blocked with frost if only crushed ice is used. Remove the frost that accumulates by removing the ice bin and clearing the passage with a rubber spatula. Dispensing cubed ice can also help prevent frost buildup.']
In-Door Ice Bin 	 caution 	 ['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Storing cans or other items in the ice bin will damage the icemaker.', 'Never use thin crystal glasses or containers to collect ice. Such containers may chip or break resulting in glass fragments in the ice.']
In-Door Ice Bin 	 detaching.caution 	 ['Only qualified service personnel from an LG Electronics service center should disassemble or repair the icemaker.']
In-Door Ice Bin 	 detaching.procedure.steps 	 ['Gently pull the handle to open the ice compartment.', 'To remove the in-door ice bin, grip the front handle, slightly lift the bottom, and slowly pull out the bin as shown.']
In-Door Ice Bin 	 assembling.caution 	 ['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Avoid touching the auto shutoff (feeler arm) when replacing the ice bin. See the label on the ice compartment door for details.']
In-Door Ice Bin 	 assembling.procedure.steps 	 ['Carefully insert the in-door ice bin, slanting the top slightly to fit it under the icemaker.', 'Gently push the handle to close the ice compartment.']
Automatic Icemaker 	 summary.prerequisites.warning 	 ['DO NOT place fingers in the automatic icemaker when the refrigerator is plugged in.', 'Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes.']
Automatic Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 In-Door Icemaker
In-Door Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 ['Icemaker', 'Power Switch', 'Ice-detecting Sensor', 'Auto Shutoff (feeler arm)']
In-Door Icemaker 	 Before_Using.description 	 ['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.']
Before Using the Freezer Icemaker 	 have_features_OPERATION_REFRIGERATOR 	 Freezer Icemaker
Freezer Icemaker 	 Before_Using.description 	 ['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.']
Freezer Icemaker (Cubed Ice) 	 description_OPERATION_REFRIGERATOR 	 ['This feature is only available on some models.', 'This automatic freezer icemaker produces 12 cubes at a time, 50-110 pieces within a 24 hour period if conditions are favorable. This amount may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, etc.).', 'Ice cubes which are stored in the ice bin for a long time may clump together and be difficult to separate. If this happens, empty the ice bin completely and clean it before reinstalling it.']
Freezer Icemaker (Cubed Ice) 	 have_features_OPERATION_REFRIGERATOR 	 ['Feeler Arm', 'Power Switch']
Turning the Icemaker On/Off 	 have_features_OPERATION_REFRIGERATOR 	 Icemaker
Icemaker 	 Turning_On 	 ['To turn the automatic icemaker On/Off, press the power switch on the icemaker to the ON ( | ) or OFF (O) position.']
Icemaker 	 Turning_Off 	 ['To turn the automatic icemaker On/Off, press the power switch on the icemaker to the ON ( | ) or OFF (O) position.']
Normal Sounds You May Hear 	 description_OPERATION_REFRIGERATOR 	 ['Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker.', 'The icemaker water valve buzzes as the icemaker fills with water. If the icemaker power button is in the ON position, it will buzz even if it has not yet been hooked up to water. To stop the buzzing, press the icemaker power button to turn it off.', 'You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills.']
