REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator.
Clean the refrigerator. 	 description 	 sentence_list_1
Clean the refrigerator. 	 caution 	 sentence_list_2
Open refrigerator doors and freezer drawers to ventilate the interior. 	 description 	 sentence_list_3
Connect the power supply. 	 description 	 sentence_list_4
Turn off the icemaker. 	 description 	 sentence_list_5
Wait for the refrigerator to cool. 	 description 	 sentence_list_6
Wait for the refrigerator to cool. 	 caution 	 sentence_list_7
The refrigerator makes a loud noise after initial operation. 	 description 	 sentence_list_8
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Open refrigerator doors and freezer drawers to ventilate the interior.
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Connect the power supply.
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Turn off the icemaker.
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Wait for the refrigerator to cool.
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 The refrigerator makes a loud noise after initial operation.
REFRIGERATOR 	 OPERATION 	 Control Panel
Control Panel 	 summary 	 sentence_list_9
Control Panel 	 have_features 	 Control Panel Features
Control Panel Features 	 description 	 sentence_list_10
Control Panel Features 	 have_features 	 Ice Plus
Ice Plus 	 description 	 sentence_list_11
Smart Grid 	 description 	 sentence_list_12
Freezer 	 description 	 sentence_list_13
Refrigerator 	 description 	 sentence_list_14
Fresh Air Filter 	 description 	 sentence_list_15
Fresh Air Filter 	 have_features 	 The Fresh Air Filter helps remove odors from the refrigerator. The Fresh Air Filter has two settings, Auto and Power. In Auto mode, the Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off. If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off. After four hours, the Fresh Air Filter switches back to Auto mode.
The Fresh Air Filter helps remove odors from the refrigerator. The Fresh Air Filter has two settings, Auto and Power. In Auto mode, the Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off. If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off. After four hours, the Fresh Air Filter switches back to Auto mode. 	 description 	 sentence_list_16
Lock 	 have_features 	 The lock function disables every other button on the display.
The lock function disables every other button on the display. 	 description 	 sentence_list_17
Water Filter 	 description 	 sentence_list_18
Wi-Fi 	 description 	 sentence_list_19
Water & Ice Type 	 description 	 sentence_list_20
Control Panel Features 	 have_features 	 Smart Grid
Control Panel Features 	 have_features 	 Freezer
Control Panel Features 	 have_features 	 Refrigerator
Control Panel Features 	 have_features 	 Fresh Air Filter
Control Panel Features 	 have_features 	 Lock
Control Panel Features 	 have_features 	 Water Filter
Control Panel Features 	 have_features 	  Wi-Fi
Control Panel Features 	 have_features 	 Water & Ice Type
Control Panel Features 	 have_features 	 Display Mode (For Store Use Only)
Display Mode (For Store Use Only) 	 description 	 sentence_list_21
Display Mode (For Store Use Only) 	 deactivate 	 sentence_list_22
Display Mode (For Store Use Only) 	 activate 	 sentence_list_23
Sabbath Mode 	 summary 	 sentence_list_24
Sabbath Mode 	 Using.description 	 sentence_list_25
Sabbath Mode 	 Using 	 Sabbath mode is used on the Jewish Sabbath and holidays.
Sabbath mode is used on the Jewish Sabbath and holidays. 	 description 	 sentence_list_26
Ice and Water Dispenser 	 Before_Using.description 	 sentence_list_27
Ice and Water Dispenser 	 Before_Using.caution 	 sentence_list_28
Ice and Water Dispenser 	 Using.procedure.steps 	 sentence_list_29
Ice and Water Dispenser 	 Locking 	 sentence_list_30
Ice and Water Dispenser 	 have_features 	 Dispenser
Dispenser 	 Cleaning 	 Ice and Water Outlet
Ice and Water Outlet 	 Cleaning.description 	 sentence_list_31
Dispenser Tray 	 Cleaning 	 sentence_list_32
Dispenser 	 Cleaning 	 Dispenser Tray
Ice Compartment 	 summary.prerequisites.description 	 sentence_list_33
Ice Compartment 	 summary.prerequisites.caution 	 sentence_list_34
Ice Compartment 	 have_features 	 In-Door Ice Bin
In-Door Ice Bin 	 description 	 sentence_list_35
In-Door Ice Bin 	 caution 	 sentence_list_36
In-Door Ice Bin 	 Detaching.caution 	 sentence_list_37
In-Door Ice Bin 	 Detaching.procedure.steps 	 sentence_list_38
In-Door Ice Bin 	 Assembling.caution 	 sentence_list_39
In-Door Ice Bin 	 Assembling.procedure.steps 	 sentence_list_40
Automatic Icemaker 	 summary.prerequisites.warning 	 sentence_list_41
Automatic Icemaker 	 have_features 	 In-Door Icemaker
In-Door Icemaker 	 have_features 	 sentence_list_42
In-Door Icemaker 	 Before_Using.description 	 sentence_list_43
Freezer Icemaker 	 Before_Using.description 	 sentence_list_44
Freezer Icemaker (Cubed Ice) 	 description 	 sentence_list_45
Freezer Icemaker (Cubed Ice) 	 have_features 	 sentence_list_46
Icemaker 	 Turning_On 	 sentence_list_47
Icemaker 	 Turning_Off 	 sentence_list_48
Normal Sounds You May Hear 	 description 	 sentence_list_49
Preparing for Vacation 	 description 	 sentence_list_50
Automatic Icemaker 	 have_features 	 Freezer Icemaker
Automatic Icemaker 	 have_features 	 Freezer Icemaker (Cubed Ice)
Automatic Icemaker 	 have_features 	 Icemaker
Automatic Icemaker 	 have_features 	 Normal Sounds You May Hear
Automatic Icemaker 	 have_features 	 Preparing for Vacation
Food 	 Storing 	 Food Storage Tips
Food Storage Tips 	 description 	 sentence_list_51
Food Storage Tips 	 caution 	 sentence_list_52
Food Storage Tips 	 How_to_Store_Food 	 Butter or Margarine
Butter or Margarine 	 description 	 sentence_list_53
Cheese 	 description 	 sentence_list_54
Milk 	 description 	 sentence_list_55
Eggs 	 description 	 sentence_list_56
Fruit 	 description 	 sentence_list_57
Leafy Vegetables 	 description 	 sentence_list_58
Vegetables with skins (carrots, peppers) 	 description 	 sentence_list_59
Fish 	 description 	 sentence_list_60
Leftovers 	 description 	 sentence_list_61
Food Storage Tips 	 How_to_Store_Food 	 Cheese
Food Storage Tips 	 How_to_Store_Food 	 Milk
Food Storage Tips 	 How_to_Store_Food 	 Eggs
Food Storage Tips 	 How_to_Store_Food 	 Fruit
Food Storage Tips 	 How_to_Store_Food 	 Leafy Vegetables
Food Storage Tips 	 How_to_Store_Food 	 Vegetables with skins (carrots, peppers)
Food Storage Tips 	 How_to_Store_Food 	 Fish
Food Storage Tips 	 How_to_Store_Food 	 Leftovers
Frozen Food 	 Storing.description 	 sentence_list_62
Frozen Food 	 Storing.Freezing 	 sentence_list_63
Frozen Food 	 Storing.Packaging.description 	 sentence_list_64
Frozen Food 	 Storing.Packaging.Packaging_recommendations 	 sentence_list_65
Frozen Food 	 Storing.Packaging.Do_not_use 	 sentence_list_66
Food 	 Storing 	 Frozen Food
Humidity Controlled Crispers 	 Using.description 	 sentence_list_67
Humidity Controlled Crispers 	 Using 	 You can control the amount of humidity in the moisture-sealed crispers by adjusting the control to any setting between Vegetables and Fruit.
You can control the amount of humidity in the moisture-sealed crispers by adjusting the control to any setting between Vegetables and Fruit. 	 description 	 sentence_list_68
Humidity Controlled Crispers 	 Removing.procedure.steps 	 sentence_list_69
Humidity Controlled Crispers 	 Assembling.procedure.steps 	 sentence_list_70
GlideNServe 	 Using.description 	 sentence_list_71
GlideNServe 	 Using.caution 	 sentence_list_72
GlideNServe 	 Detaching.procedure.steps 	 sentence_list_73
GlideNServe 	 Assembling.procedure.steps 	 sentence_list_74
Refrigerator Shelves 	 summary 	 sentence_list_75
Refrigerator Shelves 	 have_features 	 Folding Shelf
Folding Shelf 	 Using.description 	 sentence_list_76
Folding Shelf 	 Using.caution 	 sentence_list_77
Shelf 	 Detaching.caution 	 sentence_list_78
Shelf 	 Detaching.procedure.steps 	 sentence_list_79
Shelf 	 Assembling.caution 	 sentence_list_80
Shelf 	 Assembling.procedure.steps 	 sentence_list_81
Refrigerator Shelves 	 have_features 	 Shelf
Door-in-Door 	 summary 	 sentence_list_82
Door-in-Door 	 have_features 	 Door-in-Door Compartment
Door-in-Door Compartment 	 description 	 sentence_list_83
Door-in-Door Bin 	 description 	 sentence_list_84
Door-in-Door Bin 	 procedure.steps 	 sentence_list_85
Door-in-Door Case 	 description 	 sentence_list_86
Door-in-Door Case 	 procedure.steps 	 sentence_list_87
Door-in-Door 	 have_features 	 Door-in-Door Bin
Door-in-Door 	 have_features 	 Door-in-Door Case
Door Bins 	 have_features 	 Door Bin
Door Bin 	 Detaching.description 	 sentence_list_88
Door Bin 	 Detaching.procedure.steps 	 sentence_list_89
Door Bin 	 Detaching.caution 	 sentence_list_90
Door Bin 	 Assembling.description 	 sentence_list_91
