['LRMNC1803', 'LRMNC1813']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
Clean the refrigerator 	 description 	 ['Clean the refrigerator thoroughly and wipe off all dust that accumulated during shipping.']
Clean the refrigerator 	 caution 	 ['Do not scratch the refrigerator with a sharp object or use a detergent that contains alcohol, a flammable liquid or an abrasive when removing any tape or adhesive from the refrigerator. Remove adhesive residue by wiping it off with your thumb or dish detergent.', 'Do not peel off the model or serial number label or the technical information on the rear surface of the refrigerator.']
Open refrigerator doors and freezer drawers to ventilate the interior 	 description 	 ['The inside of the refrigerator may smell like plastic at first. Remove any adhesive tape from inside the refrigerator and open the refrigerator doors and the freezer drawers for ventilation.']
Connect the power supply 	 description 	 ['Check if the power supply is connected before use.']
Wait for the refrigerator to cool 	 description 	 ['Allow the refrigerator to run for at least two to three hours before putting food in it. Check the flow of cold air in the freezer compartment to ensure proper cooling.']
Wait for the refrigerator to cool 	 caution 	 ['Putting food in the refrigerator before it has cooled could cause the food to spoil, or a bad odor to remain inside the refrigerator.']
The refrigerator makes a loud noise after initial operation 	 description 	 ['This is normal. The volume will decrease as the temperature decreases.']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Open refrigerator doors and freezer drawers to ventilate the interior
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Connect the power supply
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Wait for the refrigerator to cool
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 The refrigerator makes a loud noise after initial operation
REFRIGERATOR 	 OPERATION 	 Control Panel
Control Panel 	 summary 	 ['Depending on the model, some of the following functions may not be available.', 'The actual control panel may differ from model to model.']
Control Panel 	 have_features 	 Control Panel Features
Control Panel Features 	 have_features 	 Freezer
Freezer 	 description 	 ['Indicates the set temperature of the freezer compartment in Celsius (°C) or Fahrenheit (°F). The default freezer temperature is 0°F (-18 °C). Press the Freezer button repeatedly to select a new set temperature from-7 °F to 5 °F (-23 °C to-15 °C).']
Refrigerator 	 description 	 ['Indicates the set temperature of the refrigerator compartment in Celsius (°C) or Fahrenheit (°F). The default refrigerator temperature is 37 °F (3 °C). Press the Refrigerator button repeatedly to select a new set temperature from 33 °F to 43 °F (1 °C to 7 °C).', 'To change the temperature mode from °F to °C (or vice versa) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds. The temperature indicator on the display window switches between Celsius and Fahrenheit.', 'The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. The actual refrigerator temperature depends on the food inside the refrigerator.']
